time (seconds),encoderLeft (meters),encoderRight (meters)
0.103,3.505195138586714e-7,5.97446501160448e-8
0.204,7.931501500024751e-7,6.112251185186324e-7
0.302,7.057060429360718e-7,2.4446407564937545e-7
0.415,-1.2669413251842343e-7,-8.234903816628503e-7
0.505,-0.0000013623631502923672,-0.0000021822809230798157
0.608,-0.000002596344756966573,-0.0000035415755519352388
0.702,-0.000003831656158581609,-0.000004899593932350399
0.8,-0.000005065730874775909,-0.0000062569579313276336
0.899,-0.000006304975158855086,-0.000007619348252774216
1.002,-0.000007538958925579209,-0.000008976160643214826
1.115,-0.00000877627098816447,-0.00001033653552440228
1.202,-0.000010016731721407268,-0.000011698582966346294
1.302,-0.000011253784578002524,-0.000013055748240731191
1.4020000000000001,-0.000012494447219069116,-0.000014418252249015495
1.502,-0.000013734053027292248,-0.00001577979674038943
1.6019999999999999,-0.00001497489029134158,-0.000017139978808700107
1.697,-0.00001617857014934998,-0.00001846816303441301
1.8010000000000002,-0.000017343727449770086,-0.000019762584997806698
1.901,-0.000018492743038223125,-0.00002104309714923147
2.003,-0.00001961699490493629,-0.000022297836039797403
2.103,-0.0000208128822123399,-0.000023628159397048876
2.202,-0.00002197828325734008,-0.000024923412638599984
2.302,-0.000023128870452637784,-0.00002620450140966568
2.404,-0.00002427953586447984,-0.000027486526960274205
2.501,-0.000024958239009720273,-0.000028240090614417568
2.602,-0.000024958239009720273,-0.000028240090614417568
2.7039999999999997,-0.000024958239009720273,-0.000028240090614417568
2.8040000000000003,-0.000024958239009720273,-0.000028240090614417568
2.907,-0.000024958239009720273,-0.000028240090614417568
3.009,-0.00002466890146024525,-0.00002831911842804402
3.099,-0.000025898041712935083,-0.000029678858481929637
3.207,-0.000027134852643939666,-0.00003103868948528543
3.302,-0.000028367921913741156,-0.000032395673770224676
3.402,-0.000029604405426653102,-0.0000337568526447285
3.5060000000000002,-0.00003084257332375273,-0.00003511875547701493
3.618,-0.000020448902432690375,-0.00004810089012607932
3.7039999999999997,0.0011521507985889912,-0.0012238143244758248
3.809,0.002325515728443861,-0.002400283934548497
3.902,0.003498864360153675,-0.003576733870431781
4.009,0.004672229290008545,-0.004753200802952051
4.109,0.0058455863036215305,-0.0059296563267707825
4.205,0.00701893912628293,-0.007106119301170111
4.304,0.00819232314825058,-0.008282551541924477
4.402,0.009365785866975784,-0.009458919987082481
4.502,0.010539248585700989,-0.01063525304198265
4.611,0.011712676845490932,-0.011811655014753342
4.708,0.012886086478829384,-0.012988059781491756
4.817,0.014059547334909439,-0.014164422638714314
4.9030000000000005,0.015233009122312069,-0.01534076314419508
5.01,0.016406478360295296,-0.016517119482159615
5.102,0.017579875886440277,-0.017693527042865753
5.202,0.018753351643681526,-0.01886986754834652
5.302,0.019926810637116432,-0.02004621922969818
5.401,0.02110021561384201,-0.021222636103630066
5.502,0.022273706272244453,-0.022398965433239937
5.605,0.023447100073099136,-0.023575378581881523
5.699,0.024620549753308296,-0.024751760065555573
5.802,0.025794008746743202,-0.02592812292277813
5.9030000000000005,0.02696743980050087,-0.02710449881851673
5.998,0.028140870854258537,-0.02828088589012623
6.102,0.029314327985048294,-0.02945723570883274
6.202,0.030487746000289917,-0.030633635818958282
6.303,0.03166119009256363,-0.03181001916527748
6.402,0.032834649085998535,-0.03298638388514519
6.503,0.034008074551820755,-0.03416277840733528
6.603,0.035181544721126556,-0.035339128226041794
6.705,0.03635496646165848,-0.036515526473522186
6.808,0.03752844035625458,-0.037691857665777206
6.9030000000000005,0.038701869547367096,-0.038868241012096405
7.005,0.03987529128789902,-0.0400446392595768
7.107,0.041048742830753326,-0.0412210151553154
7.199,0.04222217947244644,-0.042397391051054
7.303,0.04339561611413956,-0.0435737743973732
7.402,0.044569071382284164,-0.04475012049078941
7.503,0.04574251547455788,-0.0459265299141407
7.602,0.04691591113805771,-0.047102946788072586
7.702,0.048089370131492615,-0.048279307782649994
7.797,0.04926282539963722,-0.0494556799530983
7.901,0.05043627694249153,-0.050632040947675705
8.002,0.05160970985889435,-0.0518084317445755
8.102,0.05278312787413597,-0.052984826266765594
8.202,0.05395657941699028,-0.0541611947119236
8.311,0.0551300086081028,-0.05533758923411369
8.411,0.05630345642566681,-0.056513961404561996
8.502,0.05747685581445694,-0.057690367102622986
8.604,0.058650366961956024,-0.058866698294878006
8.703,0.059823766350746155,-0.06004311516880989
8.799,0.06099722534418106,-0.061219457536935806
8.907,0.06217067316174507,-0.06239582970738411
9.009,0.06334410607814789,-0.0635722205042839
9.107,0.0645175650715828,-0.06474858522415161
9.204,0.06569098681211472,-0.06592496484518051
9.299,0.06686443835496902,-0.06710135191679001
9.408,0.06803786754608154,-0.0682777389883995
9.503,0.06921128928661346,-0.069454126060009
9.602,0.07038471847772598,-0.0706305280327797
9.702,0.0715581476688385,-0.07180691510438919
9.802,0.07273158431053162,-0.0729832872748375
9.896,0.07390501350164413,-0.07415968179702759
10,0.07507847994565964,-0.0753360390663147
10.108,0.07625191658735275,-0.0765124186873436
10.202,0.07742533087730408,-0.07768882066011429
10.302,0.07859878242015839,-0.07886520028114319
10.404,0.0797722190618515,-0.08004157245159149
10.497,0.08094563335180283,-0.08121797442436218
10.607,0.08211910724639893,-0.0823943167924881
10.703,0.08329252898693085,-0.08357071131467819
10.804,0.08446598798036575,-0.0847470760345459
10.905,0.08563944697380066,-0.08592341840267181
10.997,0.08681286871433258,-0.0870998278260231
11.101,0.0879862979054451,-0.0882762223482132
11.21,0.08915974199771881,-0.0894525945186615
11.299,0.09033320844173431,-0.09062894433736801
11.404,0.09150661528110504,-0.0918053612112999
11.502,0.09268004447221756,-0.09298175573348999
11.602,0.09385351091623306,-0.0941580981016159
11.703,0.09502694010734558,-0.095334492623806
11.801,0.0962003692984581,-0.0965108647942543
11.893,0.097373828291893,-0.09768722951412201
12.002,0.09854726493358612,-0.09886360913515091
12.108,0.09972068667411804,-0.1000399962067604
12.203,0.10089413821697235,-0.1012163832783699
12.303,0.10206759721040726,-0.10239273309707642
12.402,0.10324101895093918,-0.10356912761926651
12.504,0.1044144555926323,-0.10474549978971481
12.606,0.10558788478374481,-0.10592188686132431
12.707,0.1067613735795021,-0.10709823668003082
12.802,0.10793478041887283,-0.10827463120222092
12.902,0.10910826176404953,-0.10945097357034683
12.997,0.11028169095516205,-0.11062736809253693
13.102,0.11145513504743576,-0.11180373281240463
13.203,0.11262855678796768,-0.11298014223575592
13.308,0.11380201578140259,-0.11415648460388184
13.401,0.1149754449725151,-0.11533288657665253
13.502,0.11614886671304703,-0.11650927364826202
13.602,0.11732234805822372,-0.11768562346696854
13.702,0.11849574744701385,-0.11886204779148102
13.798,0.11966919898986816,-0.12003840506076813
13.901,0.12084260582923889,-0.12121482193470001
14.005,0.12201602011919022,-0.1223912164568901
14.105,0.12318948656320572,-0.12356758117675781
14.214,0.12436288595199585,-0.1247439906001091
14.302,0.12553639709949493,-0.12592031061649323
14.403,0.12670978903770447,-0.1270967423915863
14.499,0.1278832107782364,-0.1282731294631958
14.6,0.12905661761760712,-0.1294495314359665
14.702,0.13023006916046143,-0.130625918507576
